Nr probki	Sygnal pomiarowy
952	2,29003906
953	2,31201172
954	2,29248047
955	2,28271484
956	2,29492188
957	2,29980469
958	2,27783203
959	2,31201172
960	2,31689453
961	2,31689453
962	2,35595703
963	2,29736328
964	2,31445313
965	2,33886719
966	2,29248047
967	2,30957031
968	2,29736328
969	2,28515625
970	2,30712891
971	2,30712891
972	2,30957031
973	2,39501953
974	2,36083984
975	2,28027344
976	2,26074219
977	2,26074219
978	2,31933594
979	2,36083984
980	2,31445313
981	2,33154297
982	2,33642578
983	2,39746094
984	2,42919922
985	2,41455078
986	2,35839844
987	2,32666016
988	2,30957031
989	2,33886719
990	2,36083984
991	2,32910156
992	2,31201172
993	2,29980469
994	2,29736328
995	2,3046875
996	2,37304688
997	2,38525391
998	2,39746094
999	2,38525391
1000	2,34619141
1001	2,41455078
1002	2,44140625
1003	2,40478516
1004	2,37548828
1005	2,35595703
1006	2,36083984
1007	2,39013672
1008	2,34130859
1009	2,34375
1010	2,37548828
1011	2,34375
1012	2,37060547
1013	2,39746094
1014	2,31689453
1015	2,37304688
1016	2,45849609
1017	2,42431641
1018	2,39990234
1019	2,40722656
1020	2,44384766
1021	2,43408203
1022	2,3828125
1023	2,45605469
1024	2,39257813
1025	2,35839844
1026	2,30712891
1027	2,31933594
1028	2,3046875
1029	2,34619141
1030	2,35839844
1031	2,34863281
1032	2,31689453
1033	2,28515625
1034	2,32666016
1035	2,35839844
1036	2,36572266
1037	2,29736328
1038	2,32177734
1039	2,31445313
1040	2,34619141
1041	2,39013672
1042	2,30712891
1043	2,31689453
1044	2,31201172
1045	2,30224609
1046	2,29003906
1047	2,33154297
1048	2,31445313
1049	2,3046875
1050	2,25341797
1051	2,23388672
1052	2,23876953
1053	2,28271484
1054	2,29980469
1055	2,28027344
1056	2,26318359
1057	2,26806641
1058	2,25341797
1059	2,28515625
1060	2,24609375
1061	2,20703125
1062	2,22900391
1063	2,19726563
1064	2,18505859
1065	2,20214844
1066	2,15576172
1067	2,18261719
1068	2,17285156
1069	2,16552734
1070	2,17285156
1071	2,13378906
1072	2,16308594
1073	2,16552734
1074	2,12158203
1075	2,09228516
1076	1,99462891
1077	1,92871094
1078	1,98974609
1079	1,99951172
1080	1,92382813
1081	1,86767578
1082	1,89453125
1083	1,87744141
1084	1,90429688
1085	1,89208984
1086	1,90917969
1087	2,00927734
1088	2,05078125
1089	1,96777344
1090	2,01904297
1091	1,91162109
1092	1,92871094
1093	1,88232422
1094	1,76269531
1095	1,81884766
1096	1,85058594
1097	1,76757813
1098	1,86523438
1099	1,77490234
1100	1,86523438
1101	1,72119141
1102	1,62109375
1103	1,49414063
1104	1,37207031
1105	1,29394531
1106	1,39160156
1107	1,49902344
1108	1,46728516
1109	1,45507813
1110	1,44042969
1111	1,41357422
1112	1,35498047
1113	1,33544922
1114	1,30371094
1115	1,27197266
1116	1,28173828
1117	1,26220703
1118	1,28173828
1119	1,69921875
1120	1,73339844
1121	1,74072266
1122	1,77490234
1123	1,84326172
1124	1,82617188
1125	1,71386719
1126	1,69921875
1127	1,70166016
1128	1,77001953
1129	1,81396484
1130	1,82128906
1131	1,86035156
1132	1,87744141
1133	1,87988281
1134	1,87744141
1135	1,87988281
1136	1,9140625
1137	1,91894531
1138	1,90673828
1139	1,92871094
1140	1,96533203
1141	1,953125
1142	1,93847656
1143	1,94335938
1144	1,93847656
1145	1,93603516
1146	1,953125
1147	1,97509766
1148	1,85058594
1149	1,88720703
1150	1,93115234
1151	1,92871094
1152	1,93603516
1153	1,92138672
1154	1,91894531
1155	1,89208984
1156	1,89453125
1157	1,89697266
1158	1,90917969
1159	1,88964844
1160	1,94824219
1161	1,96777344
1162	1,953125
1163	1,97509766
1164	1,98974609
1165	1,98730469
1166	1,97509766
1167	1,96777344
1168	1,96289063
1169	1,95800781
1170	1,96777344
1171	1,97021484
1172	1,96777344
1173	1,96777344
1174	1,96289063
1175	1,98486328
1176	1,9921875
1177	1,99951172
1178	2,03613281
1179	2,03613281
1180	2,00927734
1181	2,01171875
1182	2,00195313
1183	2,02392578
1184	2,01660156
1185	2,00439453
1186	2,04345703
1187	2,03613281
1188	2,03369141
1189	2,03613281
1190	2,05566406
1191	2,07763672
1192	2,05566406
1193	2,05322266
1194	2,09472656
1195	2,0703125
1196	2,09716797
1197	2,08496094
1198	2,13378906
1199	2,08984375
1200	2,07519531
1201	2,06054688
1202	2,08984375
1203	2,07275391
1204	2,08740234
1205	2,0703125
1206	2,09960938
1207	2,06787109
1208	2,06298828
1209	2,06054688
1210	2,0703125
1211	2,07763672
1212	2,12402344
1213	2,13134766
1214	2,11425781
1215	2,12646484
1216	2,11425781
1217	2,10693359
1218	2,12646484
1219	2,12158203
1220	2,11425781
1221	2,14111328
1222	2,10205078
1223	2,09960938
1224	2,12402344
1225	2,09228516
1226	2,13867188
1227	2,16064453
1228	2,12158203
1229	2,11914063
1230	2,10205078
1231	2,12890625
1232	2,13378906
1233	2,15820313
1234	2,13134766
1235	2,09472656
1236	2,11181641
1237	2,109375
1238	2,13623047
1239	2,13378906
1240	2,13623047
1241	2,16552734
1242	2,17773438
1243	2,16064453
1244	2,15820313
1245	2,14599609
1246	2,14355469
1247	2,15576172
1248	2,15820313
1249	2,15332031
1250	2,19970703
1251	2,22412109
1252	2,21923828
1253	2,23388672
1254	2,22900391
1255	2,24365234
1256	2,22412109
1257	2,21191406
1258	2,21435547
1259	2,18994141
1260	2,21191406
1261	2,19970703
1262	2,20214844
1263	2,19482422
1264	2,19238281
1265	2,15087891
1266	2,15332031
1267	2,19238281
1268	2,18261719
1269	2,21435547
1270	2,21435547
1271	2,21435547
1272	2,18017578
1273	2,15820313
1274	2,17285156
1275	2,19726563
1276	2,18261719
1277	2,19970703
1278	2,20703125
1279	2,21191406
1280	2,22412109
1281	2,21923828
1282	2,22167969
1283	2,19726563
1284	2,22167969
1285	2,18017578
1286	2,19238281
1287	2,21923828
1288	2,21923828
1289	2,22167969
1290	2,23876953
1291	2,26806641
1292	2,29248047
